Country/Region,Confirmed,Deaths,Recovered,Last_Update
Turkey,1,0,0,11 Mart
Turkey,1,0,0,12 Mart
Turkey,5,0,0,13 Mart
Turkey,5,0,0,14 Mart
Turkey,18,0,0,15 Mart
Turkey,47,0,0,16 Mart
Turkey,98,1,0,17 Mart
Turkey,191,2,0,18 Mart
Turkey,359,4,0,19 Mart
Turkey,670,9,0,20 Mart
Turkey,947,21,0,21 Mart
Turkey,1236,30,0,22 Mart
Turkey,1529,37,0,23 Mart
Turkey,1872,44,0,24 Mart
Turkey,2433,59,26,25 Mart
Turkey,3629,75,26,26 Mart
Turkey,5698,92,42,27 Mart
Turkey,7402,108,70,28 Mart
Turkey,9217,131,105,29 Mart
Turkey,10827,168,162,30 Mart
Turkey,13531,214,243,31 Mart
Turkey,15679,277,333,1 Nisan
Turkey,18135,356,415,2 Nisan
Turkey,20921,425,484,3 Nisan
Turkey,23934,501,786,4 Nisan
Turkey,27069,574,1042,5 Nisan
Turkey,30217,649,1326,6 Nisan
Turkey,34109,725,1582,7 Nisan
Turkey,38226,812,1846,8 Nisan
Turkey,42282,908,2142,9 Nisan
Turkey,47029,1006,2423,10 Nisan
Turkey,52167,1101,2965,11 Nisan
Turkey,56956,1198,3446,12 Nisan
